horizon,model,MAE_L3,MAE_L4,pct_diff_L3_vs_L4
1,LightGBM,13053.207411872745,12653.314311782073,3.2
1,Naive-last,12752.46,12752.46,0.0
1,Seasonal-naive,23801.72,23801.72,0.0
2,LightGBM,9197.889043885725,8443.313945066577,8.9
2,Naive-last,9670.75,9670.75,0.0
2,Seasonal-naive,20404.37,20404.37,0.0
3,LightGBM,20719.422199660537,19380.42283381962,6.9
3,Naive-last,25156.62,25156.62,0.0
3,Seasonal-naive,21191.06,21191.06,0.0
4,LightGBM,18595.627593425685,18252.955838598562,1.9
4,Naive-last,21171.29,21171.29,0.0
4,Seasonal-naive,25412.75,25412.75,0.0
