L_arrivals,fold_set,horizon,model,MAE,RMSE
3,primary,1,LightGBM,13053.207411872745,28912.161953588984
3,primary,1,Naive-last,12752.46,35252.62859192205
3,primary,1,Ridge_GPRxCountry,13118.91297703292,24812.154413617754
3,primary,1,Seasonal-naive,23801.72,55944.8775864243
3,primary,2,LightGBM,9197.889043885725,16142.016961877594
3,primary,2,Naive-last,9670.75,22100.346636874274
3,primary,2,Ridge_GPRxCountry,11614.072942310007,19041.43939609885
3,primary,2,Seasonal-naive,20404.37,41405.539338474984
3,primary,3,LightGBM,20719.422199660537,47451.56198565212
3,primary,3,Naive-last,25156.62,64862.43766325777
3,primary,3,Ridge_GPRxCountry,26059.69273588051,67049.99630692623
3,primary,3,Seasonal-naive,21191.06,45412.29682211637
3,primary,4,LightGBM,18595.627593425685,38161.63070955423
3,primary,4,Naive-last,21171.29,45026.047838001505
3,primary,4,Ridge_GPRxCountry,21594.9805652775,37867.24448986223
3,primary,4,Seasonal-naive,25412.75,54235.82954108843
3,stress_covid,1,LightGBM,16098.422655258888,50804.13262013782
3,stress_covid,1,Naive-last,9646.78,41922.444377683896
3,stress_covid,1,Ridge_GPRxCountry,22115.150789897485,63342.90426639111
3,stress_covid,1,Seasonal-naive,43316.77,131658.97763080953
3,stress_covid,2,LightGBM,18582.99273636097,57927.43528217416
3,stress_covid,2,Naive-last,12366.18,52097.181572326925
3,stress_covid,2,Ridge_GPRxCountry,25606.606529850662,70711.19039445037
3,stress_covid,2,Seasonal-naive,45022.54,136477.66294885037
3,stress_covid,3,LightGBM,21975.290753241068,72744.58974668896
3,stress_covid,3,Naive-last,15511.42,67321.04733023692
3,stress_covid,3,Ridge_GPRxCountry,28240.215052232707,84014.40676794009
3,stress_covid,3,Seasonal-naive,50846.53,156622.58785593475
3,stress_covid,4,LightGBM,23004.154015299027,71278.67191642392
3,stress_covid,4,Naive-last,16133.93,65059.09112437708
3,stress_covid,4,Ridge_GPRxCountry,29511.320668795863,83794.56353200304
3,stress_covid,4,Seasonal-naive,52694.61,145856.43992649074
4,primary,1,LightGBM,12653.314311782073,27714.654384452195
4,primary,1,Naive-last,12752.46,35252.62859192205
4,primary,1,Ridge_GPRxCountry,13343.088104552897,25221.65337366165
4,primary,1,Seasonal-naive,23801.72,55944.8775864243
4,primary,2,LightGBM,8443.313945066577,14515.502977245083
4,primary,2,Naive-last,9670.75,22100.346636874274
4,primary,2,Ridge_GPRxCountry,11151.633676764488,18383.766848381976
4,primary,2,Seasonal-naive,20404.37,41405.539338474984
4,primary,3,LightGBM,19380.42283381962,44055.53973917769
4,primary,3,Naive-last,25156.62,64862.43766325777
4,primary,3,Ridge_GPRxCountry,26181.319376219246,67645.18484636051
4,primary,3,Seasonal-naive,21191.06,45412.29682211637
4,primary,4,LightGBM,18252.955838598562,40148.2549279343
4,primary,4,Naive-last,21171.29,45026.047838001505
4,primary,4,Ridge_GPRxCountry,20887.50527522757,36297.88800169588
4,primary,4,Seasonal-naive,25412.75,54235.82954108843
4,stress_covid,1,LightGBM,14786.360691551725,47142.83737185377
4,stress_covid,1,Naive-last,9646.78,41922.444377683896
4,stress_covid,1,Ridge_GPRxCountry,22146.512233301044,63314.02189981398
4,stress_covid,1,Seasonal-naive,43316.77,131658.97763080953
4,stress_covid,2,LightGBM,17286.652393015032,53721.293339823766
4,stress_covid,2,Naive-last,12366.18,52097.181572326925
4,stress_covid,2,Ridge_GPRxCountry,26023.339528913693,71002.31946192704
4,stress_covid,2,Seasonal-naive,45022.54,136477.66294885037
4,stress_covid,3,LightGBM,20561.19056818921,69416.88474747493
4,stress_covid,3,Naive-last,15511.42,67321.04733023692
4,stress_covid,3,Ridge_GPRxCountry,28577.720129586123,84459.0777211081
4,stress_covid,3,Seasonal-naive,50846.53,156622.58785593475
4,stress_covid,4,LightGBM,21043.03606841269,65077.173380654946
4,stress_covid,4,Naive-last,16133.93,65059.09112437708
4,stress_covid,4,Ridge_GPRxCountry,29346.889771752012,84521.1265987121
4,stress_covid,4,Seasonal-naive,52694.61,145856.43992649074
