source_country_iso3,market_segment,gpr_interaction_vs_USA,total_standardized_gpr_slope
AUS,Non-ASEAN,-1031.125284628985,-3114.62296952716
BGD,Non-ASEAN,-1305.323873251575,-3388.8215581497498
BRN,ASEAN,-754.1669118418625,-2837.6645967400377
CHN,Non-ASEAN,5203.337831085413,3119.840146187238
DEU,Non-ASEAN,-1520.7636838074893,-3604.2613687056646
FRA,Non-ASEAN,-991.6699468907642,-3075.167631788939
GBR,Non-ASEAN,-881.5345919230548,-2965.03227682123
IDN,ASEAN,6042.060055720445,3958.56237082227
IND,Non-ASEAN,895.6336939891493,-1187.8639909090257
JPN,Non-ASEAN,-1188.463684347584,-3271.9613692457588
KOR,Non-ASEAN,-1522.7785322471807,-3606.276217145356
MMR,ASEAN,-1217.3558110880176,-3300.8534959861927
NPL,Non-ASEAN,-1604.0778468218887,-3687.5755317200637
PAK,Non-ASEAN,-1392.2013791915147,-3475.6990640896897
PHL,ASEAN,-638.686281276817,-2722.183966174992
SGP,ASEAN,23975.80590889872,21892.308224000546
THA,ASEAN,1402.208067274298,-681.2896176238771
TWN,Non-ASEAN,-871.0522527705222,-2954.549937668697
USA,Non-ASEAN,0.0,-2083.497684898175
VNM,ASEAN,-778.7899961524338,-2862.2876810506086
