source_country_iso3,source_country_name,market_segment,period,year,month,actual_arrivals,coverage_scope
AUS,Australia,Non-ASEAN,2017-03-01,2017,3,25068.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-04-01,2017,4,34996.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-05-01,2017,5,20245.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-06-01,2017,6,25356.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-07-01,2017,7,32963.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-08-01,2017,8,23828.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-09-01,2017,9,31265.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-10-01,2017,10,29160.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-11-01,2017,11,30919.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2017-12-01,2017,12,32773.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-01-01,2018,1,37869.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-02-01,2018,2,24070.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-03-01,2018,3,27332.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-04-01,2018,4,29415.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-05-01,2018,5,22561.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-06-01,2018,6,25868.0,20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2018-07-01,2018,7,35636.0,20 modelled source markets only; NOT all-Malaysia total
