date,source_country_iso3,source_country_name,source_currency_code,market_segment,year,month,monthly_tourist_arrivals,monthly_arrivals_available_flag,monthly_myr_per_source_currency,target_missing_flag,model_row_status
2017-03-30,AUS,Australia,AUD,Non-ASEAN,2017,3,25068,1,3.3838,0,Training eligible
2017-03-30,BGD,Bangladesh,BDT,Non-ASEAN,2017,3,9915,1,0.05581231,0,Training eligible
2017-03-30,BRN,Brunei,BND,ASEAN,2017,3,193307,1,3.1583,0,Training eligible
2017-03-30,CHN,China,CNY,Non-ASEAN,2017,3,173838,1,0.6436,0,Training eligible
2017-03-30,DEU,Germany,EUR,Non-ASEAN,2017,3,11727,1,4.7438,0,Training eligible
2017-03-30,FRA,France,EUR,Non-ASEAN,2017,3,10814,1,4.7438,0,Training eligible
2017-03-30,GBR,United Kingdom,GBP,Non-ASEAN,2017,3,29699,1,5.4773,0,Training eligible
2017-03-30,IDN,Indonesia,IDR,ASEAN,2017,3,235283,1,0.0003,0,Training eligible
2017-03-30,IND,India,INR,Non-ASEAN,2017,3,38422,1,0.0674,0,Training eligible
2017-03-30,JPN,Japan,JPY,Non-ASEAN,2017,3,38982,1,0.0393,0,Training eligible
2017-03-30,KOR,South Korea,KRW,Non-ASEAN,2017,3,35802,1,0.0039,0,Training eligible
2017-03-30,MMR,Myanmar,MMK,ASEAN,2017,3,3304,1,0.0033,0,Training eligible
2017-03-30,NPL,Nepal,NPR,Non-ASEAN,2017,3,2217,1,0.0421,0,Training eligible
2017-03-30,PAK,Pakistan,PKR,Non-ASEAN,2017,3,5275,1,0.0424,0,Training eligible
2017-03-30,PHL,Philippines,PHP,ASEAN,2017,3,27618,1,0.0883,0,Training eligible
2017-03-30,SGP,Singapore,SGD,ASEAN,2017,3,1068479,1,3.1583,0,Training eligible
2017-03-30,THA,Thailand,THB,ASEAN,2017,3,172459,1,0.1272,0,Training eligible
2017-03-30,TWN,Taiwan,TWD,Non-ASEAN,2017,3,25197,1,0.1448,0,Training eligible
2017-03-30,USA,United States,USD,Non-ASEAN,2017,3,17610,1,4.4393,0,Training eligible
2017-03-30,VNM,Vietnam,VND,ASEAN,2017,3,18866,1,0.0002,0,Training eligible
2017-03-31,AUS,Australia,AUD,Non-ASEAN,2017,3,25068,1,3.3838,0,Training eligible
2017-03-31,BGD,Bangladesh,BDT,Non-ASEAN,2017,3,9915,1,0.05581231,0,Training eligible
2017-03-31,BRN,Brunei,BND,ASEAN,2017,3,193307,1,3.1583,0,Training eligible
2017-03-31,CHN,China,CNY,Non-ASEAN,2017,3,173838,1,0.6436,0,Training eligible
2017-03-31,DEU,Germany,EUR,Non-ASEAN,2017,3,11727,1,4.7438,0,Training eligible
2017-03-31,FRA,France,EUR,Non-ASEAN,2017,3,10814,1,4.7438,0,Training eligible
2017-03-31,GBR,United Kingdom,GBP,Non-ASEAN,2017,3,29699,1,5.4773,0,Training eligible
2017-03-31,IDN,Indonesia,IDR,ASEAN,2017,3,235283,1,0.0003,0,Training eligible
2017-03-31,IND,India,INR,Non-ASEAN,2017,3,38422,1,0.0674,0,Training eligible
2017-03-31,JPN,Japan,JPY,Non-ASEAN,2017,3,38982,1,0.0393,0,Training eligible
2017-03-31,KOR,South Korea,KRW,Non-ASEAN,2017,3,35802,1,0.0039,0,Training eligible
2017-03-31,MMR,Myanmar,MMK,ASEAN,2017,3,3304,1,0.0033,0,Training eligible
2017-03-31,NPL,Nepal,NPR,Non-ASEAN,2017,3,2217,1,0.0421,0,Training eligible
2017-03-31,PAK,Pakistan,PKR,Non-ASEAN,2017,3,5275,1,0.0424,0,Training eligible
2017-03-31,PHL,Philippines,PHP,ASEAN,2017,3,27618,1,0.0883,0,Training eligible
2017-03-31,SGP,Singapore,SGD,ASEAN,2017,3,1068479,1,3.1583,0,Training eligible
2017-03-31,THA,Thailand,THB,ASEAN,2017,3,172459,1,0.1272,0,Training eligible
2017-03-31,TWN,Taiwan,TWD,Non-ASEAN,2017,3,25197,1,0.1448,0,Training eligible
2017-03-31,USA,United States,USD,Non-ASEAN,2017,3,17610,1,4.4393,0,Training eligible
2017-03-31,VNM,Vietnam,VND,ASEAN,2017,3,18866,1,0.0002,0,Training eligible
2017-04-01,AUS,Australia,AUD,Non-ASEAN,2017,4,34996,1,3.3221,0,Training eligible
2017-04-01,BGD,Bangladesh,BDT,Non-ASEAN,2017,4,10755,1,0.05520206,0,Training eligible
2017-04-01,BRN,Brunei,BND,ASEAN,2017,4,160572,1,3.1521,0,Training eligible
2017-04-01,CHN,China,CNY,Non-ASEAN,2017,4,184240,1,0.6396,0,Training eligible
2017-04-01,DEU,Germany,EUR,Non-ASEAN,2017,4,10344,1,4.7176,0,Training eligible
2017-04-01,FRA,France,EUR,Non-ASEAN,2017,4,11731,1,4.7176,0,Training eligible
2017-04-01,GBR,United Kingdom,GBP,Non-ASEAN,2017,4,33003,1,5.5597,0,Training eligible
2017-04-01,IDN,Indonesia,IDR,ASEAN,2017,4,258602,1,0.0003,0,Training eligible
2017-04-01,IND,India,INR,Non-ASEAN,2017,4,43974,1,0.0683,0,Training eligible
2017-04-01,JPN,Japan,JPY,Non-ASEAN,2017,4,27696,1,0.0401,0,Training eligible
2017-04-01,KOR,South Korea,KRW,Non-ASEAN,2017,4,30415,1,0.0039,0,Training eligible
2017-04-01,MMR,Myanmar,MMK,ASEAN,2017,4,4638,1,0.0033,0,Training eligible
2017-04-01,NPL,Nepal,NPR,Non-ASEAN,2017,4,2052,1,0.0427,0,Training eligible
2017-04-01,PAK,Pakistan,PKR,Non-ASEAN,2017,4,4680,1,0.0421,0,Training eligible
2017-04-01,PHL,Philippines,PHP,ASEAN,2017,4,35625,1,0.0885,0,Training eligible
2017-04-01,SGP,Singapore,SGD,ASEAN,2017,4,956849,1,3.1521,0,Training eligible
2017-04-01,THA,Thailand,THB,ASEAN,2017,4,180157,1,0.1279,0,Training eligible
2017-04-01,TWN,Taiwan,TWD,Non-ASEAN,2017,4,25834,1,0.1451,0,Training eligible
2017-04-01,USA,United States,USD,Non-ASEAN,2017,4,17148,1,4.4072,0,Training eligible
2017-04-01,VNM,Vietnam,VND,ASEAN,2017,4,19841,1,0.0002,0,Training eligible
