source_country_iso3,source_country_name,market_segment,period,year,month,horizon,predicted_arrivals,actual_arrivals,split_type,forecast_assumption,coverage_scope
AUS,Australia,Non-ASEAN,2026-06-01,2026,6,1,27480.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2026-07-01,2026,7,2,36635.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2026-08-01,2026,8,3,29311.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
AUS,Australia,Non-ASEAN,2026-09-01,2026,9,4,33497.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BGD,Bangladesh,Non-ASEAN,2026-06-01,2026,6,1,15125.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BGD,Bangladesh,Non-ASEAN,2026-07-01,2026,7,2,14374.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BGD,Bangladesh,Non-ASEAN,2026-08-01,2026,8,3,14198.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BGD,Bangladesh,Non-ASEAN,2026-09-01,2026,9,4,13923.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BRN,Brunei,ASEAN,2026-06-01,2026,6,1,61537.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BRN,Brunei,ASEAN,2026-07-01,2026,7,2,63094.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BRN,Brunei,ASEAN,2026-08-01,2026,8,3,69131.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
BRN,Brunei,ASEAN,2026-09-01,2026,9,4,69450.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
CHN,China,Non-ASEAN,2026-06-01,2026,6,1,358309.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
CHN,China,Non-ASEAN,2026-07-01,2026,7,2,382719.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
CHN,China,Non-ASEAN,2026-08-01,2026,8,3,398864.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
CHN,China,Non-ASEAN,2026-09-01,2026,9,4,334994.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
DEU,Germany,Non-ASEAN,2026-06-01,2026,6,1,11619.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
